town_low,town_high,distance_mi,rank,category,pct_graduated,school_to_school
Newburyport,Boxford,13.787627617280872,153,pct_graduated_high,95.9,Newburyport-Boxford
Ipswich,Lynnfield,13.8728960493289,154,pct_graduated_high,97.5,Ipswich-Lynnfield
Lynnfield,Manchester,13.902776957218602,155,pct_graduated_high,99.1,Lynnfield-Manchester
Newburyport,North Andover,14.04076001068662,156,pct_graduated_high,97.3,Newburyport-North Andover
Salem,Gloucester,14.081055789442749,157,pct_graduated_high,83.7,Salem-Gloucester
Peabody,Newbury,14.101567271065784,158,pct_graduated_high,89.5,Peabody-Newbury
Amesbury,Methuen,14.19260795563816,159,pct_graduated_high,93.2,Amesbury-Methuen
Merrimac,Danvers,14.486994630142885,160,pct_graduated_high,95.8,Merrimac-Danvers
Hamilton,North Andover,14.529339262337508,161,pct_graduated_high,97.3,Hamilton-North Andover
Saugus,Hamilton,14.6134452953004,162,pct_graduated_high,97.2,Saugus-Hamilton
Haverhill,Ipswich,14.669865718574146,163,pct_graduated_high,90.8,Haverhill-Ipswich
Georgetown,Manchester,14.883813332484069,164,pct_graduated_high,99.1,Georgetown-Manchester
Ipswich,Swampscott,14.900666267532348,165,pct_graduated_high,95.7,Ipswich-Swampscott
Lawrence,Ipswich,14.938465774524616,166,pct_graduated_high,90.8,Lawrence-Ipswich
Beverly,Rockport,15.074415061446627,167,pct_graduated_high,94.9,Beverly-Rockport
Lawrence,Amesbury,15.087670934599409,168,pct_graduated_high,87.9,Lawrence-Amesbury
Methuen,Lynnfield,15.14039062640831,169,pct_graduated_high,97.5,Methuen-Lynnfield
Saugus,Andover,15.162806374607642,170,pct_graduated_high,95.2,Saugus-Andover
Gloucester,Salisbury,15.183458969627928,171,pct_graduated_high,89.5,Gloucester-Salisbury
Beverly,North Andover,15.202946214049929,172,pct_graduated_high,97.3,Beverly-North Andover
Gloucester,Boxford,15.254370502270476,173,pct_graduated_high,95.9,Gloucester-Boxford
Beverly,Andover,15.336875510225218,174,pct_graduated_high,95.2,Beverly-Andover
Rowley,Lynnfield,15.362293556244408,175,pct_graduated_high,97.5,Rowley-Lynnfield
Lynn,Ipswich,15.380850893825723,176,pct_graduated_high,90.8,Lynn-Ipswich
Methuen,Newburyport,15.49621321495254,177,pct_graduated_high,94.6,Methuen-Newburyport
Saugus,Manchester,15.506799112025297,178,pct_graduated_high,99.1,Saugus-Manchester
Gloucester,Swampscott,15.517247717133625,179,pct_graduated_high,95.7,Gloucester-Swampscott
Salem,Georgetown,15.519365983947756,180,pct_graduated_high,95.5,Salem-Georgetown
Lawrence,Newburyport,15.606260090799044,181,pct_graduated_high,94.6,Lawrence-Newburyport
Ipswich,Andover,15.619722899199228,182,pct_graduated_high,95.2,Ipswich-Andover
Lawrence,Hamilton,15.70856348237175,183,pct_graduated_high,97.2,Lawrence-Hamilton
Amesbury,Middleton,15.72378249702108,184,pct_graduated_high,95.9,Amesbury-Middleton
Andover,Hamilton,15.758343218532286,185,pct_graduated_high,97.2,Andover-Hamilton
Gloucester,Peabody,15.890522696154266,186,pct_graduated_high,88.0,Gloucester-Peabody
Lawrence,Beverly,16.00590447862675,187,pct_graduated_high,91.0,Lawrence-Beverly
Methuen,Danvers,16.053745356476842,188,pct_graduated_high,95.8,Methuen-Danvers
Amesbury,Hamilton,16.097453923288366,189,pct_graduated_high,97.2,Amesbury-Hamilton
Newburyport,Danvers,16.133658382863327,190,pct_graduated_high,95.8,Newburyport-Danvers
Salem,Andover,16.204989390768823,191,pct_graduated_high,95.2,Salem-Andover
Salem,Newbury,16.43744294243522,192,pct_graduated_high,89.5,Salem-Newbury
Peabody,Methuen,16.439975632764526,193,pct_graduated_high,93.2,Peabody-Methuen
Lynn,Andover,16.481500340819096,194,pct_graduated_high,95.2,Lynn-Andover
Beverly,Groveland,16.495403844308367,195,pct_graduated_high,94.7,Beverly-Groveland
Ipswich,Methuen,16.565586663887842,196,pct_graduated_high,93.2,Ipswich-Methuen
Lynn,Gloucester,16.5739121803416,197,pct_graduated_high,83.7,Lynn-Gloucester
Peabody,Groveland,16.58896113190994,198,pct_graduated_high,94.7,Peabody-Groveland
Haverhill,Danvers,16.742845521517314,199,pct_graduated_high,95.8,Haverhill-Danvers
Newbury,Rockport,16.829522160879524,200,pct_graduated_high,94.9,Newbury-Rockport
Groveland,Lynnfield,16.880364255363606,201,pct_graduated_high,97.5,Groveland-Lynnfield
Salem,North Andover,16.994939653374267,202,pct_graduated_high,97.3,Salem-North Andover
Rockport,Danvers,17.068055413321378,203,pct_graduated_high,95.8,Rockport-Danvers
Marblehead,Georgetown,17.078385759064822,204,pct_graduated_high,95.5,Marblehead-Georgetown
Newburyport,Manchester,17.092291070744253,205,pct_graduated_high,99.1,Newburyport-Manchester
Lawrence,Saugus,17.09637317499067,206,pct_graduated_high,87.7,Lawrence-Saugus
