town_low,town_high,distance_mi,rank,category,hispanic_pct,school_to_school
Rockport,Haverhill,0.0,295,hispanic_pct_low,3.6,Rockport-Haverhill
Amesbury,Saugus,0.0,296,hispanic_pct_low,9.7,Amesbury-Saugus
Rockport,Lawrence,0.0,297,hispanic_pct_low,3.6,Rockport-Lawrence
Rockport,Andover,0.0,298,hispanic_pct_low,3.6,Rockport-Andover
Rockport,Methuen,0.0,299,hispanic_pct_low,3.6,Rockport-Methuen
Swampscott,Lynn,1.196055302079143,0,hispanic_pct_high,67.9,Swampscott-Lynn
North Andover,Lawrence,1.5855866438822594,1,hispanic_pct_high,93.8,North Andover-Lawrence
Swampscott,Salem,1.9363245470077504,2,hispanic_pct_high,43.9,Swampscott-Salem
Marblehead,Salem,2.361965084725948,3,hispanic_pct_high,43.9,Marblehead-Salem
Andover,Lawrence,2.4075788470636974,4,hispanic_pct_high,93.8,Andover-Lawrence
Salem,Lynn,2.620759071282193,5,hispanic_pct_high,67.9,Salem-Lynn
Marblehead,Swampscott,2.7700866048205146,6,hispanic_pct_high,12.1,Marblehead-Swampscott
Danvers,Beverly,2.820942616776508,7,hispanic_pct_high,14.9,Danvers-Beverly
Lynnfield,Peabody,3.0211280959779665,8,hispanic_pct_high,19.4,Lynnfield-Peabody
Methuen,Lawrence,3.190858545165007,9,hispanic_pct_high,93.8,Methuen-Lawrence
Danvers,Peabody,3.3831848090871595,10,hispanic_pct_high,19.4,Danvers-Peabody
North Andover,Methuen,3.582984079375072,11,hispanic_pct_high,46.0,North Andover-Methuen
Andover,North Andover,3.5890416313744566,12,hispanic_pct_high,13.5,Andover-North Andover
Topsfield,Danvers,3.717251074636475,13,hispanic_pct_high,9.1,Topsfield-Danvers
Georgetown,Salisbury,3.814898481551445,14,hispanic_pct_high,3.9,Georgetown-Salisbury
Newburyport,Amesbury,3.8692811155221,15,hispanic_pct_high,9.7,Newburyport-Amesbury
Marblehead,Lynn,3.9489579065240856,16,hispanic_pct_high,67.9,Marblehead-Lynn
Hamilton,Ipswich,4.140077970284551,17,hispanic_pct_high,7.1,Hamilton-Ipswich
Peabody,Salem,4.141631838811724,18,hispanic_pct_high,43.9,Peabody-Salem
Saugus,Lynn,4.160763648971105,19,hispanic_pct_high,67.9,Saugus-Lynn
Georgetown,Merrimac,4.28828278923016,20,hispanic_pct_high,6.0,Georgetown-Merrimac
Rockport,Gloucester,4.3171524484408135,21,hispanic_pct_high,12.9,Rockport-Gloucester
