school_to_school,distance,distance_mi,towns_1,towns_2,loc1,lat1,lon1,loc2,lat2,lon2
Merrimac-North Andover,12.45660531,7.740175664835019,Merrimac,North Andover,18,42.782938,-71.013188,24,42.700563,-71.116563
North Andover-Groveland,12.45660531,7.740175664835019,North Andover,Groveland,24,42.700563,-71.116563,9,42.782938,-71.013188
Groveland-North Andover,12.45660531,7.740175664835019,Groveland,North Andover,34,42.782938,-71.013188,24,42.700563,-71.116563
North Andover-Merrimac,12.45660531,7.740175664835019,North Andover,Merrimac,24,42.700563,-71.116563,18,42.782938,-71.013188
Groveland-North Andover,12.45660531,7.740175664835019,Groveland,North Andover,9,42.782938,-71.013188,24,42.700563,-71.116563
Beverly-Lynnfield,12.76583762,7.932323713286167,Beverly,Lynnfield,3,42.564813,-70.881187,15,42.539063,-71.033062
Lynnfield-Beverly,12.76583762,7.932323713286167,Lynnfield,Beverly,15,42.539063,-71.033062,3,42.564813,-70.881187
Newburyport-Georgetown,12.85209248,7.985919998287651,Newburyport,Georgetown,23,42.813187,-70.886188,7,42.724063,-70.986438
Georgetown-Newburyport,12.85209248,7.985919998287651,Georgetown,Newburyport,7,42.724063,-70.986438,23,42.813187,-70.886188
Saugus-Marblehead,13.05104119,8.109540994969315,Saugus,Marblehead,30,42.460813,-71.022437,17,42.492438,-70.869187
Marblehead-Saugus,13.05104119,8.109540994969315,Marblehead,Saugus,17,42.492438,-70.869187,30,42.460813,-71.022437
Marblehead-Manchester,13.05879718,8.114360343705243,Marblehead,Manchester,17,42.492438,-70.869187,16,42.582062,-70.766188
Manchester-Marblehead,13.05879718,8.114360343705243,Manchester,Marblehead,16,42.582062,-70.766188,17,42.492438,-70.869187
Marblehead-Manchester,13.05879718,8.114360343705243,Marblehead,Manchester,17,42.492438,-70.869187,6,42.582062,-70.766188
Manchester-Marblehead,13.05879718,8.114360343705243,Manchester,Marblehead,6,42.582062,-70.766188,17,42.492438,-70.869187
Lawrence-Georgetown,13.4666378,8.367780755084983,Lawrence,Georgetown,13,42.691187,-71.145062,7,42.724063,-70.986438
Georgetown-Lawrence,13.4666378,8.367780755084983,Georgetown,Lawrence,7,42.724063,-70.986438,13,42.691187,-71.145062
Manchester-Danvers,13.52964684,8.406932757250539,Manchester,Danvers,6,42.582062,-70.766188,5,42.582062,-70.931438
Danvers-Manchester,13.52964684,8.406932757250539,Danvers,Manchester,5,42.582062,-70.931438,16,42.582062,-70.766188
Danvers-Manchester,13.52964684,8.406932757250539,Danvers,Manchester,5,42.582062,-70.931438,6,42.582062,-70.766188
Manchester-Danvers,13.52964684,8.406932757250539,Manchester,Danvers,16,42.582062,-70.766188,5,42.582062,-70.931438
Ipswich-Danvers,13.55015496,8.419675912179603,Ipswich,Danvers,12,42.688563,-70.850938,5,42.582062,-70.931438
Manchester-Ipswich,13.72248078,8.526754212020727,Manchester,Ipswich,16,42.582062,-70.766188,12,42.688563,-70.850938
Ipswich-Manchester,13.72248078,8.526754212020727,Ipswich,Manchester,12,42.688563,-70.850938,6,42.582062,-70.766188
Ipswich-Manchester,13.72248078,8.526754212020727,Ipswich,Manchester,12,42.688563,-70.850938,16,42.582062,-70.766188
Manchester-Ipswich,13.72248078,8.526754212020727,Manchester,Ipswich,6,42.582062,-70.766188,12,42.688563,-70.850938
Hamilton-Peabody,13.94780748,8.6667657317385,Hamilton,Peabody,10,42.628687,-70.847813,25,42.544562,-70.974187
Peabody-Hamilton,13.94780748,8.6667657317385,Peabody,Hamilton,25,42.544562,-70.974187,10,42.628687,-70.847813
Peabody-Hamilton,13.94780748,8.6667657317385,Peabody,Hamilton,25,42.544562,-70.974187,33,42.628687,-70.847813
Hamilton-Peabody,13.94780748,8.6667657317385,Hamilton,Peabody,33,42.628687,-70.847813,25,42.544562,-70.974187
Ipswich-Beverly,13.98115183,8.687484950177778,Ipswich,Beverly,12,42.688563,-70.850938,3,42.564813,-70.881187
Beverly-Ipswich,13.98115183,8.687484950177778,Beverly,Ipswich,3,42.564813,-70.881187,12,42.688563,-70.850938
Hamilton-Rowley,14.01448615,8.708197936264018,Hamilton,Rowley,10,42.628687,-70.847813,27,42.744187,-70.916438
Hamilton-Newbury,14.01448615,8.708197936264018,Hamilton,Newbury,10,42.628687,-70.847813,22,42.744187,-70.916438
Salisbury-Hamilton,14.01448615,8.708197936264018,Salisbury,Hamilton,29,42.744187,-70.916438,10,42.628687,-70.847813
Salisbury-Hamilton,14.01448615,8.708197936264018,Salisbury,Hamilton,29,42.744187,-70.916438,33,42.628687,-70.847813
Rowley-Hamilton,14.01448615,8.708197936264018,Rowley,Hamilton,27,42.744187,-70.916438,33,42.628687,-70.847813
Hamilton-Salisbury,14.01448615,8.708197936264018,Hamilton,Salisbury,10,42.628687,-70.847813,29,42.744187,-70.916438
Hamilton-Salisbury,14.01448615,8.708197936264018,Hamilton,Salisbury,33,42.628687,-70.847813,29,42.744187,-70.916438
Hamilton-Rowley,14.01448615,8.708197936264018,Hamilton,Rowley,33,42.628687,-70.847813,27,42.744187,-70.916438
Rowley-Hamilton,14.01448615,8.708197936264018,Rowley,Hamilton,27,42.744187,-70.916438,10,42.628687,-70.847813
Newbury-Hamilton,14.01448615,8.708197936264018,Newbury,Hamilton,22,42.744187,-70.916438,33,42.628687,-70.847813
Newbury-Hamilton,14.01448615,8.708197936264018,Newbury,Hamilton,22,42.744187,-70.916438,10,42.628687,-70.847813
Hamilton-Newbury,14.01448615,8.708197936264018,Hamilton,Newbury,33,42.628687,-70.847813,22,42.744187,-70.916438
Merrimac-Methuen,14.06926427,8.742235481874381,Merrimac,Methuen,18,42.782938,-71.013188,19,42.733063,-71.171563
Methuen-Groveland,14.06926427,8.742235481874381,Methuen,Groveland,19,42.733063,-71.171563,34,42.782938,-71.013188
Groveland-Methuen,14.06926427,8.742235481874381,Groveland,Methuen,9,42.782938,-71.013188,19,42.733063,-71.171563
Methuen-Merrimac,14.06926427,8.742235481874381,Methuen,Merrimac,19,42.733063,-71.171563,18,42.782938,-71.013188
Groveland-Methuen,14.06926427,8.742235481874381,Groveland,Methuen,34,42.782938,-71.013188,19,42.733063,-71.171563
Methuen-Groveland,14.06926427,8.742235481874381,Methuen,Groveland,19,42.733063,-71.171563,9,42.782938,-71.013188
Middleton-Salisbury,14.13320392,8.781965738283064,Middleton,Salisbury,20,42.624813,-70.975813,29,42.744187,-70.916438
Middleton-Newbury,14.13320392,8.781965738283064,Middleton,Newbury,20,42.624813,-70.975813,22,42.744187,-70.916438
Topsfield-Newbury,14.13320392,8.781965738283064,Topsfield,Newbury,32,42.624813,-70.975813,22,42.744187,-70.916438
Salisbury-Middleton,14.13320392,8.781965738283064,Salisbury,Middleton,29,42.744187,-70.916438,20,42.624813,-70.975813
Rowley-Middleton,14.13320392,8.781965738283064,Rowley,Middleton,27,42.744187,-70.916438,20,42.624813,-70.975813
Newbury-Middleton,14.13320392,8.781965738283064,Newbury,Middleton,22,42.744187,-70.916438,20,42.624813,-70.975813
Newbury-Boxford,14.13320392,8.781965738283064,Newbury,Boxford,22,42.744187,-70.916438,4,42.624813,-70.975813
Topsfield-Salisbury,14.13320392,8.781965738283064,Topsfield,Salisbury,32,42.624813,-70.975813,29,42.744187,-70.916438
Boxford-Newbury,14.13320392,8.781965738283064,Boxford,Newbury,4,42.624813,-70.975813,22,42.744187,-70.916438
Newbury-Topsfield,14.13320392,8.781965738283064,Newbury,Topsfield,22,42.744187,-70.916438,32,42.624813,-70.975813
